departement	numdep	region	numregion	acc.corps.10	acc.corps.09	tues.10	tues.09	blesses.10	blesses.09	population	ratio	neoregion	neonumregion
Nievre	D58	Bourgogne	R04	164	211	21	16	198	272	219815	95.5	Bourgogne_Franche_Comté	R27
Nord	D59	Nord_Pas_De_Calais	R15	1840	2246	85	109	2237	2797	2563914	33.2	Hauts_de_France	R32
Oise	D60	Picardie	R19	472	486	53	76	652	655	802636	66	Hauts_de_France	R32
Orne	D61	Basse_Normandie	R16	148	185	25	37	186	228	291614	85.7	Normandie	R28
Pas-de-Calais	D62	Nord_Pas_De_Calais	R15	788	992	65	78	992	1334	1461430	44.5	Hauts_de_France	R32
Puy-de-Dome	D63	Auvergne	R03	707	793	43	47	865	1008	630544	68.2	Auvergne_Rhone_Alpes	R84
Pyrenees-Atlantiques	D64	Aquitaine	R02	937	952	36	37	1138	1206	651665	55.2	Nouvelle_Aquitaine	R75
Hautes-Pyrenees	D65	Midi_Pyrenees	R14	213	252	12	22	309	306	229273	52.3	Occitanie	R76
Pyrenees-Orientales	D66	Languedoc_Roussillon	R11	366	263	25	24	513	405	445737	56.1	Occitanie	R76
Bas-Rhin	D67	Alsace	R01	957	1174	46	44	1239	1480	1097045	41.9	Grand_Est	R44
Haut-Rhin	D68	Alsace	R01	434	549	37	51	524	650	749820	49.3	Grand_Est	R44
Rhone	D69	Rhone_Alpes	R22	2303	2228	75	77	2911	2818	1702468	44.1	Auvergne_Rhone_Alpes	R84
Haute-Saone	D70	Franche_Comte	R09	133	130	32	23	158	182	239372	133.7	Bourgogne_Franche_Comté	R27
Saone-et-Loire	D71	Bourgogne	R04	350	488	51	60	449	632	554837	91.9	Bourgogne_Franche_Comté	R27
Sarthe	D72	Pays_De_Loire	R18	425	466	35	42	520	595	562093	62.3	Pays_de_la_Loire	R52
Savoie	D73	Rhone_Alpes	R22	220	238	31	22	299	332	412144	75.2	Auvergne_Rhone_Alpes	R84
Haute-Savoie	D74	Rhone_Alpes	R22	471	543	39	66	665	709	725206	53.8	Auvergne_Rhone_Alpes	R84
Paris	D75	Ile_De_France	R10	7181	7990	43	45	8311	9183	2220114	19.4	Ile_De_France	R11
Seine-Maritime	D76	Haute_Normandie	R17	857	1064	67	65	1135	1407	1248443	53.7	Normandie	R28
Seine-et-Marne	D77	Ile_De_France	R10	921	929	82	86	1219	1208	1316761	62.3	Ile_De_France	R11
Yvelines	D78	Ile_De_France	R10	1266	1421	64	49	1608	1840	1410040	45.4	Ile_De_France	R11
